exp1_Now,exp1_Later,exp2_Now,exp2_Later,exp3_Now_standard,exp3_Later_standard,exp3_Now_elevated,exp3_Later_elevated,exp4_Now,exp4_Later
0.75,0.727,7.272727273,5.5,0.611,0.5,0.278,0.824,0.75,0.357
0.273,0.636,7.045454545,5.923076923,0.273,0.818,0.647,0.333,0.364,0.273
0.682,0.455,6,8.058823529,0.4,0.25,0.864,0.762,0,0.706
0.636,0.591,6.863636364,5.25,0.455,0.714,0.714,0.6,0.182,0.636
0.375,0.684,5.842105263,7.285714286,0.176,0.706,0.769,0.667,0.615,0.429
0.682,0.773,5.090909091,5.421052632,0.533,0.545,0.5,0.333,0.75,0.467
0.773,0.727,6,4.727272727,0.364,0.318,0.308,0.389,0.6,0.55
0.308,0.381,5.666666667,5.388888889,0.545,0.15,0.625,0.682,0.611,0.647
0.636,0.773,6.863636364,5.772727273,0.182,0.429,0.563,0.636,0.45,0.421
0.2,0.571,5.588235294,5.409090909,0.273,0.474,0.727,0.684,0.25,0.588
0.381,0.188,4.909090909,7.136363636,0.727,0.438,0.571,0.571,0.385,0.462
0.762,0.714,5.642857143,4.7,0.563,0.455,0.105,0.591,0.615,0.438
0.545,0.462,3.833333333,7.5,0.524,0.5,0.545,0.636,0.357,0.176
0.4,0.364,5.769230769,5.727272727,0.583,0.429,0.524,0.524,0.438,0.313
0.364,0.55,4.590909091,3.45,0.6,0.476,0.455,0.474,0.222,0.647
0.364,0.682,2.733333333,5.954545455,0.5,0.842,0.813,0.667,0.667,0.545
0.864,0.6,5.615384615,6,0.727,0.526,0.5,0.389,0.632,0.684
0.571,0.778,4.769230769,6.954545455,0.462,0.273,0.333,0.786,0.619,0.333
0.591,0.5,5.863636364,6.125,0.188,0.286,0.417,0.462,0.955,0.647
0.571,0.682,5.090909091,8.272727273,0.385,0.571,0.524,0.833,0.667,0.364
0.235,0.591,5.066666667,5.5,0.333,0.643,0.455,0.429,0.438,0.308
0.167,0.722,7.227272727,6.090909091,0.357,0.632,0.571,0.364,0.4,0.65
0.667,0.421,5.363636364,5.153846154,0.364,0.733,0.571,0.385,0.824,0.6
0.476,0.667,3.818181818,5.636363636,0.389,0.474,0.417,0.5,0.278,0.667
0.6,0.824,6.416666667,4.684210526,0.5,0.833,0.692,0.818,0.625,0.474
0.35,0.227,5.863636364,8.727272727,0.5,0.5,0.409,0.409,0.5,0.417
0.273,0.667,5.833333333,6.071428571,0.667,0.8,0.5,0.727,0.389,0.333
0.762,0.45,6.571428571,7.857142857,0.5,1,0.471,0.267,0.25,0.333
0.182,0.611,5.142857143,6.181818182,0.545,"	0.619",0.762,0.467,0.563,0.524
0.6,0.381,4.473684211,5.5,0.368,0.667,0.591,0.417,0.7,0.467
0.769,0.727,5.380952381,5.714285714,0.524,0.692,0.818,0.583,0.375,0.588
0.583,0.308,3.80952381,5.5,0.682,0.75,1,0.867,0.188,0.533
0.35,0.8,5.526315789,5.933333333,0.545,0.773,"	0.286",0.818,0.333,0.429
0.5,0.632,5.818181818,5.6,0.5,0.364,0.417,0.286,0.647,0.5
0.476,0.81,3.842105263,6.227272727,0.211,0.737,0.563,0.5,0.417,0.5
0.545,0.545,4.090909091,6.428571429,0.5,0.438,0.409,0.667,0.533,0.45
0.3,0.824,6.380952381,5.318181818,0.667,0.455,0.636,0.571,0.182,0.588
0.357,0.55,5.409090909,7.909090909,0.316,0.364,0.727,0.409,0.3,0.538
0.636,0.4,7.166666667,5.227272727,0.353,0.625,0.545,0.778,0.471,0.545
0.545,0.5,8.142857143,5.5,0.619,0.636,0.273,0.571,0.438,0.526
0.545,0.938,4.571428571,7.590909091,0.455,1,0.636,0.773,0.563,0.286
0.818,0.706,5.5,6.5,0.619,"	0.286",0.5,0.818,0.467,0.632
0.294,0.682,5.904761905,5.5,0.474,0.684,0.625,0.526,0.682,0.333
0.455,0.667,,6.571428571,0.722,0.538,0.364,0.667,0.5,0.529
0.727,0.545,,6.181818182,0.364,0.429,0.7,0.571,0.316,0.526
0.867,0.909,,5.117647059,0.692,0.682,0.417,0.273,0.563,0.4
0.524,0.727,,,0.65,0.667,0.5,0.474,0.5,0.471
0.762,0.684,,,0.158,0.636,0.636,0.667,0.4,0.474
0.667,0.6,,,0,0.667,0.385,0.917,0.214,0.579
0.5,0.35,,,"	0.476",0.524,0.619,0.571,0.2,0.333
